movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount
crowsalvationthe,1.0684553173538,0.0293222683264177,0.010960542048625,1,1,1,1,1,0
abyssthe,1.0686171700813,0.0227642276422764,0.00858610972981933,1,1,1,1,12,0
residentevil,1.06906815316253,0.00547017452461579,0.0023267260280102,1,2,1,1,0,0
soldier,1.07280767776332,0.0542903619357462,0.0170872179972635,2,1,1,1,3,0
bladetrinity,1.07460284124116,0.0359202936549554,0.0131656431395642,1,2,1,3,1,0
hauntingthe,1.079870185355,0.031437125748503,0.0134444366640992,1,1,1,1,2,0
barrylyndon,1.08084324664017,0.0121768140116764,0.00487631595943939,1,1,1,1,1,0
conanthebarbarian,1.0836397870227,0.0266701191092698,0.00695160783961968,1,1,1,1,0,0
patriotthe,1.08394817536116,0.013394495412844,0.00726714431934493,1,1,1,1,1,0
machinegunpreacher,1.08515476612676,0.00430755976739177,0.00120521529527775,1,1,1,1,0,0
missiontomars,1.09179239736323,0.0226125580456289,0.00770857982861855,1,1,1,1,1,0
halloweenthecurseofmichaelmyers,1.09596726225873,0.0405011655011655,0.0172879030413904,1,1,1,1,1,0
rearwindow,1.10012964941443,0.0584814753281276,0.0203598217810614,1,1,1,1,1,0
hellraiser,1.10041287323314,0.0404097894137735,0.0174216027874564,1,1,1,2,3,0
birthdaygirl,1.10106490531524,0.0206022187004754,0.00699217115878802,1,1,1,1,1,0
colombiana,1.10212275496542,0.0148967865503299,0.00556874948816641,1,1,1,1,0,0
invictus,1.10282612378895,0.002963841138115,0.00107778644962277,1,2,1,1,1,0
pointbreak,1.10623079798662,0.0352848413167751,0.0140840086344174,1,1,1,1,2,0
deerhunterthe,1.11048972296196,0.0502471169686985,0.0205521583384593,1,1,1,1,1,0
case39,1.11054068804797,0.00900681596884129,0.00225274967975617,1,1,1,1,0,0
excalibur,1.11564860199393,0.0259649122807018,0.0106156289953896,1,1,1,1,1,0
midnightcowboy,1.11643722170025,0.0102786042737355,0.00363413252784595,1,1,1,1,2,0
pearlharbor,1.11795479287973,0.0114744693057946,0.00607950116913484,1,1,1,1,1,0
insidious,1.11800562929303,0.00448785638859556,0.00101092764646416,1,1,1,1,0,0
arcade,1.12212728075198,0.0707768869228643,0.0251684131736527,1,2,1,1,2,0
xfilesfightthefuturethe,1.12795728598004,0.0393895648587338,0.0149661350229408,1,2,1,1,1,0
witness,1.13005525855173,0.0568348848603626,0.020048264340078,1,1,1,1,1,0
riseoftheguardians,1.13260408621118,0.00840664711632454,0.00250912408759124,1,1,1,1,0,0
thunderheart,1.13368394456594,0.0157174933659931,0.00483865471768835,1,1,1,1,1,0
ringu,1.13445438774815,0.0302103250478012,0.0167477722302977,1,2,1,1,1,0
slingblade,1.13645513348046,0.038343919077864,0.0174030118679565,1,1,1,1,2,0
ghostship,1.13793959073168,0.0252904989747095,0.00950089200514459,1,1,1,1,2,0
terminator,1.13826657408835,0.0976585951570943,0.0316927665920955,2,2,1,2,2,0
kalifornia,1.14045494290883,0.0478551411942229,0.0166024546212813,1,1,1,1,1,0
matrixthe,1.14386024305178,0.0015377855887522,0.00080526103878674,1,1,1,1,0,0
warrior,1.14497694671947,0.000754906894816306,0.000406724511930586,1,1,1,1,0,0
warhorse,1.14954340199079,0.00238038562247084,0.000757448241036863,1,1,1,1,0,0
raisingarizona,1.1497902730663,0.0105657054809597,0.00384615384615385,1,1,1,1,1,0
frequency,1.15241923384577,0.0398970398970399,0.0155535224153705,1,1,1,1,2,0
cellthe,1.15274527022752,0.0013598041881969,0.00116026105873822,1,1,1,2,1,0
cliffhanger,1.15374591416119,0.068608287724785,0.0244375355196737,1,2,1,2,3,0
moonrisekingdom,1.1576011281177,0.0338245953128775,0.00906595691591117,1,1,1,1,0,1
super8,1.15783890301105,0.0043888523151196,0.00122714443489999,1,1,1,1,0,0
howtotrainyourdragon2,1.16267479796318,0.00396196513470682,0.00169066038219171,1,1,1,1,0,0
annakarenina,1.16300091943298,0.00991189427312775,0.00258771596011873,1,2,1,1,0,0
xxx,1.16421702321651,0.0158121705797796,0.00524534686971235,1,1,1,1,1,0
hellraiser3hellonearth,1.16744685417408,0.0332646452752429,0.0303735057444532,1,1,1,1,7,0
assignmentthe,1.17480961138184,0.0234912146676853,0.00798636320590928,1,1,1,1,1,0
blackrain,1.17502164162142,0.0653705953827461,0.0270008240826022,1,1,1,1,2,0
leviathan,1.17504470368113,0.00899325505870597,0.00458494208494208,1,2,1,1,0,0
longkissgoodnightthe,1.17740048292583,0.0217170692104729,0.00609013398294762,1,1,1,1,1,0
signs,1.17859315913046,0.0648262262755731,0.0176559149596241,1,1,1,1,1,0
starwarstheempirestrikesback,1.17864299990336,0.0456012045601205,0.0161667241313259,1,1,1,1,2,0
prettywomanfinalscript,1.17979369480117,0.00282359934611384,0.00211318420781363,1,1,1,1,0,0
strangedays,1.18236768950003,0.0527586206896552,0.0197762625815402,1,1,1,1,2,0
manintheironmask,1.18315445513582,0.00758420700423823,0.00413448786956861,1,1,1,1,1,0
1492conquestofparadise,1.18493191700094,0.0495927168183996,0.0165213400642497,1,1,1,1,2,0
hesher,1.18652154399737,0.0260975609756098,0.00511119081779053,1,2,1,1,0,0
fantasticfour,1.18754307906988,0.0205227910995895,0.00893709658939006,1,1,1,1,2,0
lastofthemohicansthe,1.18902684731559,0.0591492574880443,0.0255958718977803,1,1,1,1,1,0
thingthe,1.18949160638189,0.0472875660105617,0.0169406392694064,1,2,1,1,1,0
tosleepwithanger,1.1895690503183,0.00949935815147625,0.00221348872927678,1,1,1,1,1,0
hardrain,1.19036439668528,0.0364945382323734,0.0170629227300676,1,1,1,1,1,0
aliennation,1.19075062196929,0.0513860716700473,0.0197168242119356,1,1,1,1,1,0
hollowman,1.19220434124362,0.0150391866130057,0.00544495490896716,1,1,1,1,1,0
gandhi,1.19319757679396,0.0785479382747281,0.0317366905567582,1,2,1,1,1,0
flight,1.19321491468817,0.00226401950539882,0.000791922391605623,1,1,1,1,0,0
kundun,1.19335352511854,0.00796524257784214,0.00579506541399596,1,1,1,2,2,0
lordofillusions,1.19365999733735,0.0417070805043647,0.0157556598001224,1,1,1,1,1,0
se7en,1.19837644986851,0.0350654069767442,0.0106169384278413,1,2,1,1,3,0
relicthe,1.20365847236293,0.0255419617943765,0.0117530755711775,1,1,1,1,1,0
idesofmarchthe,1.20579184881441,0.0243839835728953,0.00666462855395903,1,1,1,1,1,0
interviewwiththevampire,1.20640501890228,0.00656554222322844,0.00185065235495512,1,1,1,1,1,0
onlygodforgives,1.20800239901789,0.00390080802451937,0.00149365197908887,1,1,1,1,0,0
gladiator,1.20903130611882,0.028754700287547,0.0112315866776103,1,1,1,1,1,0
unbreakable,1.21154362571215,0.0243326246161115,0.00934460349148367,1,2,1,1,2,0
beginners,1.2117198570155,0.000820568927789934,0.000294273438879407,1,1,1,2,0,1
sixthsensethe,1.21185453120267,0.0683393070489845,0.022053473990542,1,1,1,1,2,0
vforvendetta,1.2138585445978,0.00213675213675214,0.00122674299734206,1,2,1,1,0,0
cedarrapids,1.21436698741585,0.00171600171600172,0.000520471894517696,1,1,1,1,0,0
insomnia,1.2157711554819,0.0264336917562724,0.0119518486672399,1,2,1,1,1,0
underfire,1.21719461846486,0.0740588356305287,0.0249339871746511,1,1,1,1,1,0
airforceone,1.21797806634434,0.0188830855765368,0.00764326165300384,1,1,1,1,1,0
freddyvs.jason,1.21867234750489,0.0354295837023915,0.0134603437564713,1,1,1,1,2,0
metro,1.21904814817821,0.0338780390593862,0.0119284294234592,1,1,1,1,1,0
easya,1.21912953372374,0.00300508552935737,0.00104128703077003,1,1,1,1,0,0
colorofnight,1.21939838947371,0.00151613601906,0.000562725090036014,1,1,1,1,0,0
starwarsanewhope,1.22215088964354,0.0257679180887372,0.0113270127350668,1,1,1,1,1,0
freaked,1.2228665143361,0.00121036068748487,0.000620229007633588,1,2,1,1,0,0
searchersthe,1.22413158727793,0.0835168869309839,0.0280548628428928,1,1,1,1,1,0
pianistthe,1.2253632916484,0.0509175497544585,0.0203691915977085,1,1,1,1,1,0
thirteendays,1.22674200246731,0.0176596503745986,0.0061576354679803,1,1,1,1,1,0
lincoln,1.22762724551389,0.00295508274231679,0.000900795049543728,1,2,1,1,0,0
amour,1.22794539186492,0.0045662100456621,0.00114538790470373,1,1,1,1,0,0
lifeasahouse,1.22826899350467,0.0126661129568106,0.00370591751344889,1,1,1,1,1,0
rushhour,1.22849183509342,0.0760182966673927,0.0308280742015682,1,1,1,1,1,0
frenchconnectionthe,1.22936132232221,0.0375730587252992,0.0223377142571586,1,2,1,1,1,0
avengersthe2012,1.22976055355126,0.00319707695820964,0.00146400275576989,1,1,1,1,0,0
daytheclowncriedthe,1.23023665277362,0.0812096500169895,0.0317670611788259,1,1,1,1,1,0
losthighway,1.23038208186892,0.0801667075263545,0.030438010393467,1,1,1,1,1,0
highfidelity,1.23051055882013,0.0250385208012327,0.0113797432470741,1,1,1,1,1,0
evencowgirlsgettheblues,1.23053158063664,0.0181989331659868,0.00831566022993638,1,1,1,1,1,0
fromheretoeternity,1.23073005579614,0.0157854406130268,0.00589465125733202,1,1,1,1,1,0
bones,1.23098898612434,0.0294722412611378,0.0320787153882732,1,1,1,3,2,0
coolerthe,1.23165779845451,0.040189785096288,0.016157447022701,1,1,1,1,1,0
machete,1.23178183024495,0.0049800796812749,0.0020653799586924,1,2,1,1,0,0
meninblack,1.23180900672976,0.0137790252615463,0.00526733832197651,2,1,1,1,1,0
sleepyhollow,1.23228496237198,0.0332340132936053,0.01516905017773,1,1,1,1,2,0
platoon,1.23236529519586,0.0612711476909008,0.024986498649865,1,1,1,1,1,0
bamboozled,1.23291754500827,0.000985804416403785,0.000537634408602151,1,1,1,1,0,0
election,1.23344754797752,0.000714966634890372,0.000522306855277476,1,1,1,1,0,0
storytelling,1.23347595002285,0.0207086976530143,0.0104153902708001,1,1,1,1,1,0
limitless,1.23462858178197,0.0250671441360788,0.00583387350680619,1,1,1,1,0,1
faceoff,1.23559701588297,0.033611549740582,0.0156558468389881,1,1,1,1,2,0
godfather,1.23584774878481,0.031331592689295,0.0123382005993751,1,1,1,1,1,0
ladykillersthe,1.23639600927031,0.00348280365694384,0.00178974730472579,1,1,1,1,1,0
croodsthe,1.2375302682907,0.00814234016887817,0.00329343213629742,1,1,1,1,0,0
darkknightrisesthe,1.23777880595908,0.00120731286650569,0.00061012812690665,1,1,1,1,0,0
30minutesorless,1.23839768518635,0.00339750849377123,0.0012996907632322,1,1,1,1,0,0
blow,1.23991243342203,0.00229621125143513,0.000609984984984985,1,1,1,1,1,0
takingsides,1.24008261206195,0.0367924528301887,0.0165057187863845,1,1,1,1,1,0
bound,1.24095409817076,0.0020671834625323,0.00100272965294413,1,1,1,1,0,0
janeeyre,1.24097327270668,0.00137713948455636,0.000655636545952409,1,1,1,1,0,0
48hrs.,1.24115917367601,0.000919328889910365,0.000658761528326746,1,2,1,1,1,0
helpthe,1.24181208551208,0.00276960360048468,0.0011822871883061,1,1,1,1,0,0
coldmountain,1.24336989675407,0.0447906523855891,0.0189956409256831,1,1,1,1,1,0
waroftheworlds,1.24396286423979,0.00517241379310345,0.00584363658731623,1,1,1,1,0,0
greenmilethe,1.24446869335571,0.0343583902809415,0.0123851790690474,1,1,1,1,2,0
manhattanmurdermystery,1.24484880817664,0.000291375291375291,0.000136746526638223,1,2,1,1,0,0
minorityreport,1.24618800042532,0.0690824327187964,0.0236268794108622,1,2,1,2,2,0
fatalinstinct,1.24621426209046,0.0416579443165166,0.0178626070991432,1,1,1,1,1,0
jennifereight,1.24668616352627,0.0161671924290221,0.0146234095157692,1,1,1,2,4,0
hitchcock,1.2474061381164,0.0320080020005001,0.00686042738608446,1,1,1,1,0,0
ronin,1.24760859175271,0.0686782256248593,0.0329728906487968,1,2,1,1,2,0
millerscrossing,1.24840100050231,0.0145660530042484,0.00649595890928318,1,2,1,1,4,0
arthur,1.24866373175586,0.00112359550561798,0.000400641025641026,1,2,1,1,0,0
starwarsattackoftheclones,1.24895687865269,0.000505561172901921,7.74263481862878e-05,1,1,1,1,1,0
italianjobthe,1.24923909986865,0.0264293419633225,0.0131585555722967,1,1,1,1,1,0
bigfish,1.25008772951856,0.0317009182334937,0.0110618569278946,1,1,1,1,1,0
walkingtall,1.25018263511458,0.00261951538965291,0.001407789770061,1,1,1,1,0,0
chasingamy,1.2504036750177,0.06437425029988,0.0377938034188034,1,1,1,3,1,0
wallstreetmoneyneversleeps,1.25084897905903,0.0055587502396013,0.00198686237936907,1,1,1,1,0,0
scream2,1.25284643691007,0.0197495183044316,0.0086890243902439,1,1,1,1,1,0
leavinglasvegas,1.25357407540921,0.00186616902159424,0.00115826050331684,2,2,1,1,1,0
klute,1.25637040577684,0.0506034300232903,0.0166413208776885,1,1,1,1,1,0
tombstone,1.25787293111293,0.0158210583742499,0.0081322943958624,1,1,1,1,1,0
laboroflove,1.25871401433713,0.0623430962343096,0.0240835211768893,1,1,1,1,2,0
whenastrangercalls,1.26061303236873,0.0624652970571905,0.0233896117862136,1,1,1,1,1,0
shrekthethird,1.26234088526652,0.00114468864468864,0.000865426222414539,1,1,1,1,0,0
jacobsladder,1.26314138025941,0.0614206871995727,0.0273611238919052,1,1,1,1,1,0
henryfool,1.2635844711024,0.0370445344129555,0.0125698894012978,1,1,1,1,1,0
lostintranslation,1.26432999725956,0.0681176944780331,0.0282069566595357,1,1,1,1,1,0
starman,1.2643321555168,0.071733229934083,0.0331536199411847,1,2,1,1,1,0
whitesquall,1.26513652625208,0.0276303751143641,0.00844997022036927,1,2,1,1,2,0
losersthe,1.26651723119479,0.00483208504469679,0.00169517645245801,1,1,1,1,0,0
jaws,1.26704701678392,0.0687086092715232,0.0289328239178011,1,1,1,1,2,0
scream,1.26817763530257,0.0211904761904762,0.00823142050799624,1,1,1,1,2,0
butterflyeffectthe,1.26853290440139,0.0438761145002346,0.0165857962064402,1,1,1,1,1,0
faultinourstarsthe,1.26855011942609,0.00210039907582441,0.00122956418780455,1,1,1,1,0,0
detroitrockcity,1.27050204686633,0.0333629893238434,0.0136096988658584,1,1,1,1,1,0
aptpupil,1.27255075372483,0.0219270503900485,0.00960988853958274,1,1,1,2,1,0
grossepointblank,1.27298155828382,0.0230769230769231,0.00968536251709986,1,1,1,1,1,0
gonein60seconds,1.27466015616554,0.00691973111901938,0.00344680686263119,1,1,1,1,1,0
lonestar,1.27480183685542,0.0166632798211746,0.00561077976584935,1,1,1,1,1,0
savingprivateryan,1.27685221223789,0.013901549680948,0.00513223599038284,1,1,1,1,1,0
deadpoetssociety,1.27732141704758,0.00298804780876494,0.00164515963189553,1,2,1,1,6,0
hostage,1.27763885479581,0.0321266968325792,0.014831136912581,1,1,1,1,2,0
griftersthe,1.27871774224264,0.0519294902334445,0.0190414267137284,1,1,1,1,2,0
meanstreets,1.2799232727422,0.00523286237571952,0.00200316288877174,1,1,1,1,0,0
upintheair,1.28051031850445,0.00144717800289436,0.000899708917703096,1,1,1,1,0,0
apocalypsenow,1.28065111388834,0.0383039372884376,0.0159572560691362,1,1,1,1,3,0
ted,1.28091233961395,0.021431380259536,0.00457438345266508,1,2,1,1,0,0
cars2,1.28144999778822,0.00274026228224702,0.00074019245003701,1,1,1,1,0,0
fargo,1.28209580597045,0.00347872625100348,0.00105958613812017,1,1,1,1,1,0
feast,1.28214494663588,0.0262085032032615,0.0120646618328777,1,1,1,1,1,0
savingmr.banks,1.28295582403358,0.00470829068577277,0.00171340968527369,1,1,1,1,0,0
nickoftime,1.28333173254007,0.0232177000819448,0.00929085087396987,1,1,1,1,1,0
autumninnewyork,1.28440681714595,0.0295081967213115,0.0109493924422486,1,1,1,1,1,0
mysterymen,1.28467490072506,0.0347222222222222,0.0218654857459175,1,1,1,1,9,0
independenceday,1.28528564776979,0.0537301894085814,0.0198816384945654,1,1,1,1,2,0
boondocksaintsthe,1.28578408534558,0.0590949033391916,0.0214960287667444,1,1,1,1,1,0
ghost,1.28679552251396,0.0414597279205355,0.0168391154392372,1,1,1,1,1,0
badsanta,1.28750252483356,0.0284982388728786,0.0134343101745143,1,1,1,1,1,0
senseandsensibility,1.28758181853421,0.0151544216382122,0.00521259959788517,1,1,1,1,1,0
godfatherpartii,1.28762317378125,0.0478266613819527,0.0175954566198469,1,1,1,1,2,0
afewgoodmen,1.28772657691964,0.0511254019292605,0.0205155787775174,1,1,1,1,1,0
marthamarcymaymarlene,1.28956019414659,0.0010593220338983,0.000633362362441612,1,1,1,1,0,0
threekingsspoilsofwar,1.28974421355358,0.0247295208655332,0.00977159401640663,1,1,1,1,1,0
reindeergames,1.2899670753818,0.0298935298935299,0.0124119823367944,1,2,1,1,3,0
badlieutenant,1.29141494689378,0.061613295500608,0.0220313149508106,1,1,1,1,1,0
prophecythe,1.29226650852355,0.0351252944956093,0.0143790295215473,1,1,1,1,1,0
majorleague,1.29262737525483,0.0405912199426428,0.0174777824798984,1,1,1,1,1,0
doubleindemnity,1.29323784235547,0.0283119658119658,0.0121947133907334,1,1,1,1,1,0
tomorrowneverdies,1.29390805899343,0.0647058823529412,0.0294154306369189,1,1,1,1,3,0
life,1.29391906556696,0.0229628124364967,0.00913150968976792,1,1,1,1,1,0
pi,1.29498209020279,0.0243171219187209,0.011556620393207,1,1,1,1,1,0
5050,1.29506495423087,0.00176912870411322,0.000904658993818164,1,1,1,1,1,0
backdraft,1.29579926580803,0.0492029128124385,0.0185780082826954,1,1,1,1,1,0
forrestgump,1.29773916780859,0.0109935697987969,0.00398423083375273,1,1,1,1,1,0
pleasantville,1.29913013712471,0.0788360683471494,0.0293015221146638,1,1,1,1,1,0
naturalbornkillers,1.30171666964368,0.0386571719226857,0.0165204331673386,1,2,1,1,1,0
fasttimesatridgemonthigh,1.30177417777575,0.0232804232804233,0.00949928977272727,1,2,1,1,1,0
15minutes,1.30281920947532,0.0269980715663167,0.0116191275167785,1,1,1,1,2,0
mybestfriendswedding,1.30340630072003,0.00852757248436612,0.007177126808909,1,2,1,1,3,0
arcticblue,1.30446907261938,0.00858000858000858,0.00416945285764859,1,1,1,1,2,0
12monkeys,1.30532890240214,0.0309954301609378,0.0160094371418942,1,2,1,1,1,0
badcountry,1.30736484817159,0.0643148548116151,0.0247818173332711,1,1,1,1,3,0
lasttangoinparis,1.30748561519546,0.00590128755364807,0.00292558054488938,1,1,1,1,0,0
mulhollanddrive,1.30748763426966,0.0559322033898305,0.0228022654518592,1,1,1,1,1,0
bourneidentitythe,1.30753052673961,0.0719293689950662,0.0353906993041998,1,1,1,1,1,0
godzilla,1.30770003264529,0.0466751918158568,0.0168962930796258,1,1,1,3,1,0
jasonx,1.30802335289695,0.0332144449398128,0.0141560970975251,1,1,1,1,1,0
programthe,1.30808604612797,0.0428419936373277,0.018498411549443,1,1,1,1,1,0
beavisandbuttheaddoamerica,1.30846220828032,0.00340557275541796,0.00588200694076819,1,1,1,1,0,0
antitrust,1.31059932903698,0.0431406384814495,0.0204217999582376,1,2,1,1,1,0
blackdahliathe,1.31119069133816,0.0266978922716628,0.0120206233344919,1,1,1,1,2,0
goodwillhunting,1.31225642926967,0.0438042620363062,0.0179573512906846,1,1,1,1,1,0
godsandmonsters,1.31317423567826,0.0202509355051728,0.00917092953592331,1,1,1,1,2,0
g.i.jane,1.31344674180008,0.0306030603060306,0.0125524965002333,1,1,1,1,2,0
rocky,1.31376718487337,0.0364671163575042,0.0132529544040955,1,2,1,1,1,0
nottinghill,1.31390206401679,0.0166303162486369,0.00805943835788943,1,1,1,1,2,0
totalrecall,1.31454941938768,0.0672043010752688,0.025195387221949,1,1,1,2,3,0
traffic,1.31719976884611,0.0456373491869208,0.0171072004487135,1,1,1,1,1,0
lifeofdavidgalethe,1.31755742725637,0.0440092165898618,0.021556998964511,1,1,1,1,1,0
jurassicparkiii,1.31786874801839,0.0260760289035501,0.00990366922827146,1,1,1,3,3,0
juno,1.31812802734846,0.0314363143631436,0.0118421812720236,1,2,1,1,1,0
youcancountonme,1.31830568622114,0.0248611478444856,0.00953250756321708,1,1,1,1,1,0
rushhour2,1.31833465718039,0.00203665987780041,0.000563189907636855,1,2,1,2,2,0
hudsuckerproxythe,1.31846223278406,0.0282258064516129,0.0133945954364925,1,1,1,1,1,0
sweetsmellofsuccess,1.31848796096634,0.0889715348304964,0.0351257960419225,1,2,1,1,1,0
silenceofthelambs,1.31977564804443,0.0623958526198852,0.0232455992161368,1,1,1,1,1,0
croupier,1.32101371937482,0.0413902892013797,0.013876404494382,1,1,1,1,1,0
winwin,1.32134961275434,0.0227423272245529,0.00568883164278431,1,1,1,1,0,0
getcarter,1.32202590624573,0.0613707165109034,0.0267188448822617,1,2,1,1,1,0
eventhorizon,1.32227297829025,0.057181148090239,0.0202899961074348,1,1,1,1,1,0
whosyourdaddy,1.32279403564875,0.0225494707777266,0.0108395743003548,1,1,1,1,1,0
allabouteve,1.32592958367933,0.0656542414480749,0.0321589366111627,1,2,1,1,2,0
fearandloathinginlasvegas,1.32699701579082,0.042170047868703,0.021433607520564,1,1,1,1,1,0
moonstruck,1.32712074074172,0.0311542390194076,0.015018389865141,1,1,1,1,1,0
mumford,1.32741688504621,0.041608040201005,0.0179882525697504,1,2,1,1,1,0
eternalsunshineofthespotlessmind,1.32745851191845,0.00302506482281763,0.00187866568914956,1,1,1,1,1,0
spiderman,1.32766959895601,0.0554171855541719,0.0241297790820902,1,1,1,1,1,0
crouchingtigerhiddendragon,1.32812977246874,0.0140067911714771,0.00884716078360567,1,1,1,1,2,0
taxidriver,1.32887134637571,0.0676623670513691,0.0253148454395115,1,2,1,1,1,0
musicoftheheart,1.32901911652551,0.0406793877123087,0.0174817720547478,1,1,1,1,1,0
quantumproject,1.33187347228776,0.0108932461873638,0.00305480682839173,1,1,1,3,3,0
missionimpossibleii,1.33197601222218,0.0455098564127525,0.0214435379608577,1,1,1,1,1,0
psycho,1.33264792910071,0.105031068350371,0.0410357849307679,1,1,1,1,1,0
peepingtom,1.3332327104661,0.0428520625889047,0.020700575445101,1,2,1,1,1,0
copycat,1.33337283548735,0.0768365817091454,0.0271154251951889,1,2,1,1,2,0
nightmareonelmstreeta,1.33440031178787,0.0611072823340225,0.031068665377176,1,2,1,2,2,0
dogdayafternoon,1.33492713828478,0.0515504641516887,0.0234000456586257,1,1,1,1,1,0
bachelorparty,1.33961185956495,0.0597222222222222,0.0268013851335326,1,1,1,1,2,0
battleofshakerheightsthe,1.33976402437802,0.0292897874546397,0.0125532650005758,1,1,1,1,1,0
missionimpossible,1.33991846750466,0.035538261997406,0.0185758513931889,2,1,1,1,2,0
meetjoeblack,1.34022871851808,0.0342605689140343,0.0132832803927231,1,1,1,1,3,0
livinginoblivion,1.34205548157098,0.0247143236779166,0.0113069104468635,1,1,1,1,1,0
mrs.brown,1.34331167927056,0.0449603291213635,0.018353592490071,1,2,1,1,2,0
mymotherdreamsthesatansdisciplesinnewyork,1.3435242038785,0.0764940239043825,0.0367223065250379,1,1,1,1,2,0
americansplendor,1.34369006804655,0.0562782805429864,0.0210284212255627,1,1,1,1,1,0
buffythevampireslayer,1.34464596892375,0.0495445456565208,0.0213969615402163,1,1,1,1,1,0
jayandsilentbobstrikeback,1.34468816087423,0.0542476970317298,0.024736022885028,1,1,1,1,1,0
iamsam,1.34540803333565,0.0335358991672294,0.0168784029038113,1,2,1,1,2,0
ciderhouserulesthe,1.34571976992143,0.0507391130643228,0.0198738170347003,1,1,1,1,1,0
henryscrime,1.34602300979471,0.0120746432491767,0.00455468364155189,1,1,1,1,0,0
peggysuegotmarried,1.34679966923381,0.0342327829238824,0.0147353425633264,1,1,1,1,1,0
uturn,1.34750234944366,0.0307372793354102,0.0133882199053591,1,2,1,1,1,0
fiveeasypieces,1.34770525435718,0.0407843137254902,0.0227484834344377,1,1,1,1,1,0
fightclub,1.34824577950832,0.0255768198891075,0.0126314995663814,1,2,1,1,2,0
intolerablecruelty,1.34980853638963,0.0284323770491803,0.0148719531008948,1,1,1,1,1,0
